country,year,ntl_sum,ntl_lit,sensor
BEL,2019,1597916.0,44323,VIIRSsim
GEO,2019,387121.0,24553,VIIRSsim
AZE,2019,606153.0,39422,VIIRSsim
ESP,2019,6576832.0,293067,VIIRSsim
ARM,2019,120438.0,7718,VIIRSsim
DNK,2019,545320.0,17694,VIIRSsim
ROU,2019,1895179.0,93137,VIIRSsim
HUN,2019,945882.0,33419,VIIRSsim
SVK,2019,548425.0,20033,VIIRSsim
POL,2019,5245645.0,170884,VIIRSsim
IRL,2019,621938.0,17747,VIIRSsim
GRC,2019,1701852.0,88110,VIIRSsim
AUT,2019,855458.0,32946,VIIRSsim
ITA,2019,9966418.0,363640,VIIRSsim
NLD,2019,1605795.0,46143,VIIRSsim
HRV,2019,717314.0,32707,VIIRSsim
SVN,2019,212799.0,8664,VIIRSsim
BGR,2019,835079.0,55872,VIIRSsim
PRT,2019,2025288.0,84311,VIIRSsim
MDA,2019,112642.0,3817,VIIRSsim
MLT,2019,23810.0,467,VIIRSsim
CYP,2020,122845.0,5236,VIIRSsim
FRA,2020,7223208.0,265966,VIIRSsim
UKR,2020,1782478.0,60769,VIIRSsim
BLR,2020,489454.0,16624,VIIRSsim
LTU,2020,252729.0,8477,VIIRSsim
CZE,2020,1250369.0,44997,VIIRSsim
DEU,2020,5723769.0,202473,VIIRSsim
EST,2020,259657.0,8066,VIIRSsim
LVA,2020,205929.0,6866,VIIRSsim
SWE,2020,2931302.0,91797,VIIRSsim
FIN,2020,2916965.0,91618,VIIRSsim
LUX,2020,101869.0,3835,VIIRSsim
BEL,2020,1606911.0,44855,VIIRSsim
GEO,2020,415634.0,21861,VIIRSsim
AZE,2020,559865.0,27750,VIIRSsim
ESP,2020,6814398.0,284096,VIIRSsim
ARM,2020,123639.0,6006,VIIRSsim
DNK,2020,505422.0,16592,VIIRSsim
ROU,2020,1690408.0,71773,VIIRSsim
HUN,2020,845484.0,28815,VIIRSsim
SVK,2020,466368.0,16953,VIIRSsim
POL,2020,4489186.0,149445,VIIRSsim
IRL,2020,615815.0,17943,VIIRSsim
GRC,2020,1649090.0,78812,VIIRSsim
AUT,2020,754948.0,29394,VIIRSsim
ITA,2020,9882503.0,353400,VIIRSsim
NLD,2020,1611104.0,46081,VIIRSsim
HRV,2020,671134.0,29912,VIIRSsim
SVN,2020,199479.0,7902,VIIRSsim
BGR,2020,741199.0,36159,VIIRSsim
PRT,2020,1946526.0,82264,VIIRSsim
MDA,2020,98364.0,3553,VIIRSsim
MLT,2020,19903.0,373,VIIRSsim
CYP,2021,129642.0,5757,VIIRSsim
FRA,2021,7848104.0,284383,VIIRSsim
UKR,2021,3243851.0,99119,VIIRSsim
BLR,2021,1240128.0,34752,VIIRSsim
LTU,2021,704198.0,19035,VIIRSsim
CZE,2021,1741305.0,62428,VIIRSsim
DEU,2021,7381606.0,252114,VIIRSsim
EST,2021,635233.0,18607,VIIRSsim
LVA,2021,578372.0,15973,VIIRSsim
SWE,2021,5429069.0,162818,VIIRSsim
FIN,2021,4566405.0,129809,VIIRSsim
LUX,2021,106440.0,4112,VIIRSsim
BEL,2021,1698718.0,46251,VIIRSsim
GEO,2021,505041.0,26829,VIIRSsim
AZE,2021,688216.0,34170,VIIRSsim
ESP,2021,7683258.0,324033,VIIRSsim
ARM,2021,177697.0,8127,VIIRSsim
DNK,2021,795981.0,24564,VIIRSsim
ROU,2021,2362263.0,103878,VIIRSsim
HUN,2021,1124284.0,36519,VIIRSsim
SVK,2021,628820.0,22504,VIIRSsim
POL,2021,7008069.0,233210,VIIRSsim
IRL,2021,636189.0,17663,VIIRSsim
GRC,2021,2031935.0,98174,VIIRSsim
AUT,2021,997238.0,36181,VIIRSsim
ITA,2021,10624484.0,383863,VIIRSsim
NLD,2021,1741675.0,49365,VIIRSsim
HRV,2021,784637.0,34649,VIIRSsim
SVN,2021,257949.0,9794,VIIRSsim
BGR,2021,989196.0,49616,VIIRSsim
PRT,2021,2052737.0,87230,VIIRSsim
MDA,2021,161724.0,5304,VIIRSsim
MLT,2021,23924.0,467,VIIRSsim
CYP,2022,124882.0,5528,VIIRSsim
FRA,2022,7443987.0,260998,VIIRSsim
UKR,2022,1192158.0,37425,VIIRSsim
BLR,2022,949305.0,26139,VIIRSsim
LTU,2022,478854.0,12943,VIIRSsim
CZE,2022,1452734.0,50343,VIIRSsim
DEU,2022,6554562.0,221491,VIIRSsim
EST,2022,585712.0,16731,VIIRSsim
LVA,2022,460059.0,12145,VIIRSsim
SWE,2022,4527734.0,135551,VIIRSsim
FIN,2022,4481075.0,130964,VIIRSsim
LUX,2022,104431.0,4007,VIIRSsim
BEL,2022,1567145.0,44373,VIIRSsim
GEO,2022,495496.0,26597,VIIRSsim
AZE,2022,687108.0,32972,VIIRSsim
ESP,2022,7069366.0,295426,VIIRSsim
ARM,2022,172210.0,7785,VIIRSsim
DNK,2022,686254.0,20754,VIIRSsim
ROU,2022,2217061.0,91055,VIIRSsim
HUN,2022,1068130.0,32881,VIIRSsim
SVK,2022,575404.0,19632,VIIRSsim
POL,2022,5622605.0,178227,VIIRSsim
IRL,2022,701004.0,18968,VIIRSsim
GRC,2022,1968627.0,94116,VIIRSsim
AUT,2022,971073.0,34315,VIIRSsim
ITA,2022,10222127.0,363848,VIIRSsim
NLD,2022,1656904.0,48289,VIIRSsim
HRV,2022,756451.0,33291,VIIRSsim
SVN,2022,248298.0,9167,VIIRSsim
BGR,2022,929829.0,45860,VIIRSsim
PRT,2022,2007159.0,85030,VIIRSsim
MDA,2022,150813.0,4708,VIIRSsim
MLT,2022,24005.0,467,VIIRSsim
CYP,2023,136870.0,6137,VIIRSsim
FRA,2023,6272662.0,214870,VIIRSsim
UKR,2023,903985.0,25141,VIIRSsim
BLR,2023,1112315.0,29825,VIIRSsim
LTU,2023,436271.0,11716,VIIRSsim
CZE,2023,1464235.0,50925,VIIRSsim
DEU,2023,6386761.0,215074,VIIRSsim
EST,2023,552229.0,16187,VIIRSsim
LVA,2023,455531.0,11897,VIIRSsim
SWE,2023,4916090.0,147829,VIIRSsim
FIN,2023,4716057.0,136866,VIIRSsim
LUX,2023,87903.0,2855,VIIRSsim
BEL,2023,1241178.0,37002,VIIRSsim
GEO,2023,798217.0,40157,VIIRSsim
AZE,2023,1103066.0,51278,VIIRSsim
ESP,2023,8512628.0,360205,VIIRSsim
ARM,2023,324714.0,12554,VIIRSsim
DNK,2023,671005.0,19987,VIIRSsim
ROU,2023,2562202.0,105159,VIIRSsim
HUN,2023,1134126.0,34550,VIIRSsim
SVK,2023,578797.0,18931,VIIRSsim
POL,2023,5072182.0,157836,VIIRSsim
IRL,2023,700507.0,19168,VIIRSsim
GRC,2023,2254741.0,107673,VIIRSsim
AUT,2023,972436.0,34037,VIIRSsim
ITA,2023,10415970.0,383912,VIIRSsim
NLD,2023,1570012.0,46685,VIIRSsim
HRV,2023,782424.0,34729,VIIRSsim
SVN,2023,248254.0,9017,VIIRSsim
BGR,2023,1246549.0,58293,VIIRSsim
PRT,2023,2172921.0,92793,VIIRSsim
MDA,2023,146942.0,4213,VIIRSsim
MLT,2023,24306.0,467,VIIRSsim
CYP,2024,142416.0,6347,VIIRSsim
FRA,2024,6450907.0,215285,VIIRSsim
UKR,2024,1387499.0,34412,VIIRSsim
BLR,2024,1238782.0,31796,VIIRSsim
LTU,2024,495767.0,13491,VIIRSsim
CZE,2024,1330797.0,45391,VIIRSsim
DEU,2024,6440553.0,217782,VIIRSsim
EST,2024,457306.0,12619,VIIRSsim
LVA,2024,426398.0,11032,VIIRSsim
SWE,2024,5041993.0,151202,VIIRSsim
FIN,2024,4348102.0,129082,VIIRSsim
LUX,2024,88665.0,3231,VIIRSsim
BEL,2024,1314580.0,39444,VIIRSsim
GEO,2024,854564.0,42935,VIIRSsim
AZE,2024,1161769.0,55304,VIIRSsim
ESP,2024,9646628.0,421517,VIIRSsim
ARM,2024,351200.0,14688,VIIRSsim
DNK,2024,803320.0,24679,VIIRSsim
ROU,2024,3005067.0,131117,VIIRSsim
HUN,2024,1195733.0,35505,VIIRSsim
SVK,2024,572996.0,18470,VIIRSsim
POL,2024,5529287.0,175215,VIIRSsim
IRL,2024,714947.0,19701,VIIRSsim
GRC,2024,2577428.0,124824,VIIRSsim
AUT,2024,983217.0,33297,VIIRSsim
ITA,2024,10861323.0,408660,VIIRSsim
NLD,2024,1647477.0,49019,VIIRSsim
HRV,2024,881133.0,38767,VIIRSsim
SVN,2024,266728.0,9410,VIIRSsim
BGR,2024,1610403.0,78498,VIIRSsim
PRT,2024,2308396.0,102380,VIIRSsim
MDA,2024,228273.0,6195,VIIRSsim
MLT,2024,24553.0,467,VIIRSsim
