country,year,fixed_broad_price_i154_FBB_ts_GNI,series_code,series_name,series_units,variable
FRA,2021,1.28157,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FRA,2022,1.18031,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FRA,2023,0.75,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FIN,2010,0.86,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FIN,2011,0.85,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FIN,2012,0.85,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FIN,2013,0.744017,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FIN,2014,0.884489,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FIN,2015,0.739378,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FIN,2016,0.82,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FIN,2017,0.876639,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FIN,2018,0.97,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FIN,2019,0.97,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FIN,2020,0.91,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FIN,2021,0.965754,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FIN,2022,0.902297,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
FIN,2023,0.88,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
GRC,2010,0.82,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
GRC,2011,0.92,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
GRC,2012,1.11,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
GRC,2013,1.23387,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
GRC,2014,1.2339,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
GRC,2015,1.03147,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
GRC,2016,1.16,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
GRC,2017,1.38965,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
GRC,2018,1.35,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
GRC,2019,1.35,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
GRC,2020,1.45,i154_FBB_ts_GNI,Fixed-broadband Internet basket,% GNI per capita,fixed_broad_price
