country,year,mobile_broad_price_i271mb_ts_GNI,series_code,series_name,series_units,variable
LUX,2021,0.184513,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LUX,2022,0.133438,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LUX,2023,0.12,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LVA,2013,0.75,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LVA,2014,0.73,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LVA,2015,0.61,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LVA,2016,0.62431,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LVA,2017,0.917415,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LVA,2018,0.5,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LVA,2019,0.5,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LVA,2020,0.84,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LVA,2021,0.470922,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LVA,2022,0.420162,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
LVA,2023,0.35,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
MLT,2013,0.76,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
MLT,2014,0.76,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
MLT,2015,0.63,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
MLT,2016,0.555412,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
MLT,2017,0.567942,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
MLT,2018,0.54,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
MLT,2019,0.81,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
MLT,2020,0.75,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
MLT,2021,0.539605,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
MLT,2022,0.456641,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
MLT,2023,0.4,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
POL,2013,0.56,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
POL,2014,0.55,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
POL,2015,0.7,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
POL,2016,0.68573,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
POL,2017,0.249566,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
